,backer_info,backer_id,cf_id,name,email
0,"{""backer_id"": ""av166"", ""cf_id"": 968, ""name"": ""Angelo Vincent"", ""email"": ""avincent@live.com""}",av166,166,"""Angelo Vincent","""avincent@live.com""}"
1,"{""backer_id"": ""ha127"", ""cf_id"": 563, ""name"": ""Hubert Arnold"", ""email"": ""harnold@yandex.com""}",ha127,127,"""Hubert Arnold","""harnold@yandex.com""}"
2,"{""backer_id"": ""lg794"", ""cf_id"": 65, ""name"": ""Loris Goulet"", ""email"": ""lgoulet@yandex.com""}",lg794,794,"""Loris Goulet","""lgoulet@yandex.com""}"
3,"{""backer_id"": ""tb566"", ""cf_id"": 563, ""name"": ""Teodora Brunelli"", ""email"": ""tbrunelli@outlook.com""}",tb566,566,"""Teodora Brunelli","""tbrunelli@outlook.com""}"
4,"{""backer_id"": ""lh506"", ""cf_id"": 563, ""name"": ""Lexie Hunt"", ""email"": ""lhunt@live.com""}",lh506,506,"""Lexie Hunt","""lhunt@live.com""}"
5,"{""backer_id"": ""lh382"", ""cf_id"": 563, ""name"": ""Lambert Huber"", ""email"": ""lhuber@live.com""}",lh382,382,"""Lambert Huber","""lhuber@live.com""}"
6,"{""backer_id"": ""em444"", ""cf_id"": 563, ""name"": ""Emmy Morin"", ""email"": ""emorin@live.com""}",em444,444,"""Emmy Morin","""emorin@live.com""}"
7,"{""backer_id"": ""at582"", ""cf_id"": 1572, ""name"": ""Armonda Trani"", ""email"": ""atrani@live.com""}",at582,582,"""Armonda Trani","""atrani@live.com""}"
8,"{""backer_id"": ""id772"", ""cf_id"": 1911, ""name"": ""Ilana Duke"", ""email"": ""iduke@outlook.com""}",id772,772,"""Ilana Duke","""iduke@outlook.com""}"
9,"{""backer_id"": ""lw275"", ""cf_id"": 65, ""name"": ""Leigha Wright"", ""email"": ""lwright@live.com""}",lw275,275,"""Leigha Wright","""lwright@live.com""}"
10,"{""backer_id"": ""ub509"", ""cf_id"": 65, ""name"": ""Uwe Becker"", ""email"": ""ubecker@yahoo.com""}",ub509,509,"""Uwe Becker","""ubecker@yahoo.com""}"
11,"{""backer_id"": ""ha915"", ""cf_id"": 1572, ""name"": ""Hawa Audy"", ""email"": ""haudy@gmail.com""}",ha915,915,"""Hawa Audy","""haudy@gmail.com""}"
12,"{""backer_id"": ""bb881"", ""cf_id"": 968, ""name"": ""Bia Bonura"", ""email"": ""bbonura@yahoo.com""}",bb881,881,"""Bia Bonura","""bbonura@yahoo.com""}"
13,"{""backer_id"": ""mg332"", ""cf_id"": 65, ""name"": ""Michel Garner"", ""email"": ""mgarner@protonmail.com""}",mg332,332,"""Michel Garner","""mgarner@protonmail.com""}"
14,"{""backer_id"": ""kd700"", ""cf_id"": 1572, ""name"": ""Karole Dunn"", ""email"": ""kdunn@yahoo.com""}",kd700,700,"""Karole Dunn","""kdunn@yahoo.com""}"
15,"{""backer_id"": ""as695"", ""cf_id"": 563, ""name"": ""Arndt Schreiber"", ""email"": ""aschreiber@yahoo.com""}",as695,695,"""Arndt Schreiber","""aschreiber@yahoo.com""}"
16,"{""backer_id"": ""iv513"", ""cf_id"": 65, ""name"": ""Imen Villeneuve"", ""email"": ""ivilleneuve@yahoo.com""}",iv513,513,"""Imen Villeneuve","""ivilleneuve@yahoo.com""}"
17,"{""backer_id"": ""ab842"", ""cf_id"": 65, ""name"": ""Alcina Bonadonna"", ""email"": ""abonadonna@yandex.com""}",ab842,842,"""Alcina Bonadonna","""abonadonna@yandex.com""}"
18,"{""backer_id"": ""re181"", ""cf_id"": 1114, ""name"": ""Raelene Espinoza"", ""email"": ""respinoza@outlook.com""}",re181,181,"""Raelene Espinoza","""respinoza@outlook.com""}"
19,"{""backer_id"": ""kn133"", ""cf_id"": 65, ""name"": ""Kati Nash"", ""email"": ""knash@protonmail.com""}",kn133,133,"""Kati Nash","""knash@protonmail.com""}"
20,"{""backer_id"": ""gj893"", ""cf_id"": 65, ""name"": ""Georg Jager"", ""email"": ""gjager@yahoo.com""}",gj893,893,"""Georg Jager","""gjager@yahoo.com""}"
21,"{""backer_id"": ""vp915"", ""cf_id"": 948, ""name"": ""Virgilio Paolella"", ""email"": ""vpaolella@gmail.com""}",vp915,915,"""Virgilio Paolella","""vpaolella@gmail.com""}"
22,"{""backer_id"": ""ja995"", ""cf_id"": 563, ""name"": ""Jerrica Avila"", ""email"": ""javila@protonmail.com""}",ja995,995,"""Jerrica Avila","""javila@protonmail.com""}"
23,"{""backer_id"": ""ga249"", ""cf_id"": 563, ""name"": ""Gianni Achterberg"", ""email"": ""gachterberg@live.com""}",ga249,249,"""Gianni Achterberg","""gachterberg@live.com""}"
24,"{""backer_id"": ""td403"", ""cf_id"": 65, ""name"": ""Timoteo Dion"", ""email"": ""tdion@gmail.com""}",td403,403,"""Timoteo Dion","""tdion@gmail.com""}"
25,"{""backer_id"": ""tv463"", ""cf_id"": 1572, ""name"": ""Teodoro Verno"", ""email"": ""tverno@yandex.com""}",tv463,463,"""Teodoro Verno","""tverno@yandex.com""}"
26,"{""backer_id"": ""mw606"", ""cf_id"": 65, ""name"": ""Morris Waller"", ""email"": ""mwaller@protonmail.com""}",mw606,606,"""Morris Waller","""mwaller@protonmail.com""}"
27,"{""backer_id"": ""hc648"", ""cf_id"": 65, ""name"": ""Hans Chen"", ""email"": ""hchen@yandex.com""}",hc648,648,"""Hans Chen","""hchen@yandex.com""}"
28,"{""backer_id"": ""ta379"", ""cf_id"": 563, ""name"": ""Trilby Auer"", ""email"": ""tauer@yahoo.com""}",ta379,379,"""Trilby Auer","""tauer@yahoo.com""}"
29,"{""backer_id"": ""tj583"", ""cf_id"": 1572, ""name"": ""Theola Jodoin"", ""email"": ""tjodoin@yandex.com""}",tj583,583,"""Theola Jodoin","""tjodoin@yandex.com""}"
30,"{""backer_id"": ""tc559"", ""cf_id"": 65, ""name"": ""Tova Capri"", ""email"": ""tcapri@live.com""}",tc559,559,"""Tova Capri","""tcapri@live.com""}"
31,"{""backer_id"": ""ww629"", ""cf_id"": 65, ""name"": ""Wanda Walton"", ""email"": ""wwalton@protonmail.com""}",ww629,629,"""Wanda Walton","""wwalton@protonmail.com""}"
32,"{""backer_id"": ""jg155"", ""cf_id"": 1572, ""name"": ""Justine Gill"", ""email"": ""jgill@yahoo.com""}",jg155,155,"""Justine Gill","""jgill@yahoo.com""}"
33,"{""backer_id"": ""jd328"", ""cf_id"": 1911, ""name"": ""Julee Doyle"", ""email"": ""jdoyle@gmail.com""}",jd328,328,"""Julee Doyle","""jdoyle@gmail.com""}"
34,"{""backer_id"": ""ld239"", ""cf_id"": 65, ""name"": ""Lisbeth Deliso"", ""email"": ""ldeliso@gmail.com""}",ld239,239,"""Lisbeth Deliso","""ldeliso@gmail.com""}"
35,"{""backer_id"": ""cv918"", ""cf_id"": 968, ""name"": ""Carl Valdez"", ""email"": ""cvaldez@gmail.com""}",cv918,918,"""Carl Valdez","""cvaldez@gmail.com""}"
36,"{""backer_id"": ""kb145"", ""cf_id"": 563, ""name"": ""Kelyan Butler"", ""email"": ""kbutler@yahoo.com""}",kb145,145,"""Kelyan Butler","""kbutler@yahoo.com""}"
37,"{""backer_id"": ""dw578"", ""cf_id"": 65, ""name"": ""Donat Weber"", ""email"": ""dweber@live.com""}",dw578,578,"""Donat Weber","""dweber@live.com""}"
38,"{""backer_id"": ""ad511"", ""cf_id"": 65, ""name"": ""Alethia Delorme"", ""email"": ""adelorme@outlook.com""}",ad511,511,"""Alethia Delorme","""adelorme@outlook.com""}"
39,"{""backer_id"": ""db633"", ""cf_id"": 65, ""name"": ""Darrell Bernardi"", ""email"": ""dbernardi@yandex.com""}",db633,633,"""Darrell Bernardi","""dbernardi@yandex.com""}"
40,"{""backer_id"": ""cr369"", ""cf_id"": 65, ""name"": ""Carina Reeves"", ""email"": ""creeves@gmail.com""}",cr369,369,"""Carina Reeves","""creeves@gmail.com""}"
41,"{""backer_id"": ""mr978"", ""cf_id"": 65, ""name"": ""Marvin Ruiz"", ""email"": ""mruiz@outlook.com""}",mr978,978,"""Marvin Ruiz","""mruiz@outlook.com""}"
42,"{""backer_id"": ""md167"", ""cf_id"": 1572, ""name"": ""Mariabella Duerr"", ""email"": ""mduerr@live.com""}",md167,167,"""Mariabella Duerr","""mduerr@live.com""}"
43,"{""backer_id"": ""jr877"", ""cf_id"": 1572, ""name"": ""Jeni Ricco"", ""email"": ""jricco@live.com""}",jr877,877,"""Jeni Ricco","""jricco@live.com""}"
44,"{""backer_id"": ""om753"", ""cf_id"": 65, ""name"": ""Otto Munoz"", ""email"": ""omunoz@yahoo.com""}",om753,753,"""Otto Munoz","""omunoz@yahoo.com""}"
45,"{""backer_id"": ""ng231"", ""cf_id"": 1114, ""name"": ""Nesrine Gensch"", ""email"": ""ngensch@yandex.com""}",ng231,231,"""Nesrine Gensch","""ngensch@yandex.com""}"
46,"{""backer_id"": ""tl316"", ""cf_id"": 65, ""name"": ""Tullio Lejeune"", ""email"": ""tlejeune@outlook.com""}",tl316,316,"""Tullio Lejeune","""tlejeune@outlook.com""}"
47,"{""backer_id"": ""dl139"", ""cf_id"": 563, ""name"": ""Dreama Lonardo"", ""email"": ""dlonardo@live.com""}",dl139,139,"""Dreama Lonardo","""dlonardo@live.com""}"
48,"{""backer_id"": ""mw253"", ""cf_id"": 968, ""name"": ""Maryrose West"", ""email"": ""mwest@live.com""}",mw253,253,"""Maryrose West","""mwest@live.com""}"
49,"{""backer_id"": ""im424"", ""cf_id"": 65, ""name"": ""Irina Mays"", ""email"": ""imays@yandex.com""}",im424,424,"""Irina Mays","""imays@yandex.com""}"
50,"{""backer_id"": ""mb131"", ""cf_id"": 968, ""name"": ""Marcelo Brose"", ""email"": ""mbrose@protonmail.com""}",mb131,131,"""Marcelo Brose","""mbrose@protonmail.com""}"
51,"{""backer_id"": ""nc240"", ""cf_id"": 1572, ""name"": ""Nestor Coutant"", ""email"": ""ncoutant@gmail.com""}",nc240,240,"""Nestor Coutant","""ncoutant@gmail.com""}"
52,"{""backer_id"": ""ab318"", ""cf_id"": 1572, ""name"": ""Aloysius Braun"", ""email"": ""abraun@live.com""}",ab318,318,"""Aloysius Braun","""abraun@live.com""}"
53,"{""backer_id"": ""af301"", ""cf_id"": 65, ""name"": ""Amos Ferre"", ""email"": ""aferre@gmail.com""}",af301,301,"""Amos Ferre","""aferre@gmail.com""}"
54,"{""backer_id"": ""bl736"", ""cf_id"": 563, ""name"": ""Brigitte Lynch"", ""email"": ""blynch@outlook.com""}",bl736,736,"""Brigitte Lynch","""blynch@outlook.com""}"
55,"{""backer_id"": ""ar957"", ""cf_id"": 65, ""name"": ""Alegra Ramsey"", ""email"": ""aramsey@yahoo.com""}",ar957,957,"""Alegra Ramsey","""aramsey@yahoo.com""}"
56,"{""backer_id"": ""cb474"", ""cf_id"": 968, ""name"": ""Conchita Beitel"", ""email"": ""cbeitel@gmail.com""}",cb474,474,"""Conchita Beitel","""cbeitel@gmail.com""}"
57,"{""backer_id"": ""dv246"", ""cf_id"": 1572, ""name"": ""Donnie Vernet"", ""email"": ""dvernet@protonmail.com""}",dv246,246,"""Donnie Vernet","""dvernet@protonmail.com""}"
58,"{""backer_id"": ""cj111"", ""cf_id"": 563, ""name"": ""Cyril Jones"", ""email"": ""cjones@protonmail.com""}",cj111,111,"""Cyril Jones","""cjones@protonmail.com""}"
59,"{""backer_id"": ""lh765"", ""cf_id"": 563, ""name"": ""Lucinda Hays"", ""email"": ""lhays@outlook.com""}",lh765,765,"""Lucinda Hays","""lhays@outlook.com""}"
60,"{""backer_id"": ""wh697"", ""cf_id"": 65, ""name"": ""Walter Hermann"", ""email"": ""whermann@outlook.com""}",wh697,697,"""Walter Hermann","""whermann@outlook.com""}"
61,"{""backer_id"": ""eb714"", ""cf_id"": 65, ""name"": ""Emil Blanc"", ""email"": ""eblanc@protonmail.com""}",eb714,714,"""Emil Blanc","""eblanc@protonmail.com""}"
62,"{""backer_id"": ""ec356"", ""cf_id"": 1572, ""name"": ""Eldwin Cesare"", ""email"": ""ecesare@protonmail.com""}",ec356,356,"""Eldwin Cesare","""ecesare@protonmail.com""}"
63,"{""backer_id"": ""yh129"", ""cf_id"": 65, ""name"": ""Yusuf Hudson"", ""email"": ""yhudson@protonmail.com""}",yh129,129,"""Yusuf Hudson","""yhudson@protonmail.com""}"
64,"{""backer_id"": ""as494"", ""cf_id"": 65, ""name"": ""Arrigo Salazar"", ""email"": ""asalazar@gmail.com""}",as494,494,"""Arrigo Salazar","""asalazar@gmail.com""}"
